Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
#ShameOnYou_The_Straits_Times for spreading false news!!! It is true that we all are panic but Myanmar citizens didn’t  do any violent demonstrations in other countries.  #crd followers  တောင်းစားတာဖလမ,4/2/21,25,Tracetogether,29,2,-13.38147759,5,1,1,10.50364908,2,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Shame on you The Straits Times. You don't have enough ethics to be a media.  You used wrong photos and wrong information.  You are the same with dictator. Military coup is global issue.  If you ignore it, it will spread into your country.  Don't be selfish.",2/2/21,44,Tracetogether,46,2,-10.0479101,9,1,3,5.087460733,1,0,1
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"These people is not Myanmar! We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,23,Tracetogether,23,1,-13.33523347,4,0,0,5.541704021,1,0,0
"The 1st, 2nd, and 4th photos are not from the real protests. They are wrong photos of course. Shame on you  The Straits Times  for spreading wrong information. 🙂🙂🙂  #Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader, #Aung #San #Suu #Kyi #government!!!",2/2/21,25,Tracetogether,28,2,-11.56050142,3,1,1,2.548416135,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",3/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Some photos are not Myanmar ! We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",3/2/21,23,Tracetogether,23,1,-13.53721318,4,0,0,5.31759492,1,0,0
"Myanmar people never do like that without ethic ,shame on you the starits times .  #Save #Myanmar   #Save #Burma   #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!!p#Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!!",2/2/21,14,Tracetogether,14,1,-12.46324245,1,0,1,2.451963982,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️  ©️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
Shame on you The Straits Times!  Misleading the people with false information! Delete your false news 👎,2/2/21,16,Tracetogether,16,1,-11.05802325,0,0,2,8.593727813,1,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
We stand with our Leader Aung San Suu Kyi.,2/2/21,9,Tracetogether,9,0,-12.61664873,1,0,1,12.94484066,2,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️ #crd #SAVEBURMA 🇲🇲 #REJECTtheMILITARY #WeneedDEMOCRACY #OurLeaderAungSanSUUKYI‼️",2/2/21,31,Tracetogether,34,2,-14.82992271,5,0,1,2.952997621,0,0,0
"The 1st, 2nd, and 4th photos are not from the real protests. They are wrong photos of course. Shame on you  The Straits Times  for spreading wrong information. 🙂🙂🙂  #Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader, #Aung #San #Suu #Kyi #government!!!",2/2/21,25,Tracetogether,28,2,-11.56050142,3,1,1,2.548416135,0,0,0
"We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,18,Tracetogether,18,1,-14.31292898,4,0,1,9.664055563,1,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️  ©️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"We strongly condemn Military coup.  We demand immediate release of state counseller Daw Aung San Suu Kyi, President U Win Myint, civilian government ministers and elected members of perliment.  We demand to respect 2020 election results and form new civillian government soonest by NLD led perliment.  #SaveMyanmar  #releaseaungsansuukyi #mandateelectionresult #UN  #US #PresidentBiden #Save #Burma 🇲🇲  #We #need #democracy!!! #Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!!",2/2/21,45,Tracetogether,46,2,-13.92478115,6,2,0,1.284930012,0,0,0
"Shame on you The Starits Time ! Using the wrong photos which would make everyone misjudge about the situation.  Source of pic ( About two dozen riot police attempted to break up the protest, and clashed with Thai organisers who are part of the kingdom's own protests last year.  A police spokesman said a handful of people were detained for questioning after Thai protesters threw rocks and coloured smoke bombs.)   (Source -https://www.channelnewsasia.com/news/asia/myanmar-migrant-workers-thailand-protest-coup-14089210 ) Myanmar people in foreign countries are protesting peacefully but the people in the country can’t because we can’t let the Military use that as an excuse & claim  that they staged the coup as people are protesting ,making political unrest.",2/2/21,109,Tracetogether,109,4,-11.55797144,20,3,2,1.235289925,0,0,0
"#Save_Burma #Help_Myanmar Myanmar Military detained our head leader ""Daw Aung San Su Kyi"" and many other prime ministers from all over the states of Myanmar(Burma) who are the head leaders of National League for Democracy(NLD). We don't need Myanmar Military for making this aggressive and unrespectful situation. We request #R2P ( Responsibility to protect) for Myanmar.  #Asean #Asia #United_Nations #EuropeanUnion  #United_States #Republic_of_korea #Save #Myanmar  #Save #Burma  #Reject #Military !!! #We #need #democracy #Help #us #and #support #our #Leader",2/2/21,53,Tracetogether,54,3,-13.42121344,7,2,1,1.824054398,0,0,0
"It is fake Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.   Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,34,Tracetogether,37,2,-13.24630746,6,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"I think this is so wrong.. the demonstration should be a peaceful one. All Myanmars should respect and obey law and order of their country of resident. We can ask for help, we can show our unhappiness towards the military coup in Myanmar but dont cause any nauisance or trouble to our host country..   Pls, pls, pls follow law n order of your country of resident. Pls dont let the world see us as uncivilized thugs, while we are victims.. 🙏🙏🙏",2/2/21,80,Tracetogether,80,3,-11.38654389,10,4,5,2.44632944,0,1,0
Just deport them so they can stand with their people of Myanmar in Myanmar lol... nuisance..,2/2/21,16,Tracetogether,16,1,-11.33325293,2,0,0,14.71185688,2,0,0
"#Save_Burma #Help_Myanmar Myanmar Military detained our head leader ""Daw Aung San Su Kyi"" and many other prime ministers from all over the states of Myanmar(Burma) who are the head leaders of National League for Democracy(NLD). We don't need Myanmar Military for making this aggressive and unrespectful situation. We request #R2P ( Responsibility to protect) for Myanmar.  #Asean #Asia #United_Nations #EuropeanUnion  #United_States #Republic_of_korea #Save #Myanmar  #Save #Burma  #Reject #Military !!! #We #need #democracy #Help #us #and #support #our #Leader #AungSanSuKyi",2/2/21,53,Tracetogether,54,3,-13.55921124,7,2,1,1.750538874,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",3/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"#shameonyouthestraitstimes #thestraitstimes #Whathappendinmyanmar #JusticeForMyanmar   I dont know why The Straits Times always goes extramile to provide false information on most of the news related to Myanmar affairs!!! .All these photos described here are obviously mixed up with Thai protesters during the previous Thai Protests and Burmese protesters in front of Myanmar Embassy. Pic No: 1,2 and 4 are not burmese protestors !!! Why must you, as a reputable New Media provides such a misleading information to everyone around the world. We are already under too much pressure due to Military Coup 😔 and you are creating such a unnecessary tension between Myanmar and the rest of the world. Very Much Disappointment !  Crd",2/2/21,104,Tracetogether,107,4,-11.84622759,11,3,2,1.51498896,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.   Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Dear international friends, Sorry for posting a message here! 🥺🙏  In our country Myanmar, the military has detained our elected democratic government, party leaders and political activists.This is a breach of democracy in the nation. National television channels, some phone services and internet services are cut out nationwide.Please be aware of what is happening in Myanmar right now and support us. This is against the will of citizens. They are using weapons to shut us out.  We, people from Myanmar need urgent ATTENTION and ACTION from the people, governments around the WORLD. Myanmar military is repeating the ugliest history of conducting a coup over unfounded, false claims of vote fraudulent... Myanmar army has coup the Nation and announced to be in power for a year. We need to let the world to know that this is not our choice.   For International friends, please help us in anyway you can. Let the world know by sharing this message. 🙏  #Myanmarcoup  #myanmar_military_coup #save_myanmar #Myanmar 🇲🇲",2/2/21,154,Tracetogether,158,4,-10.58803534,31,4,5,1.080760226,0,0,1
"Sorry for posting a message here🙏 We really need your help right now .All around the people around the world need to know what is now happening in Myanmar .The military is trying to take control over by force and they are trying to cut off all the connection from the world we young generation really  deserve to get what we we really need .please make this world spread before our Wifi all gone .we are asking for help .#Save #Myanmar 🇲🇲  #Save #Burma 🇲🇲  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!!",2/2/21,79,Tracetogether,79,3,-10.8137019,20,1,3,1.886097234,0,0,1
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️  ©️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
Please find and give justice to us. Please dont ignore myanmar current situation. Please force myanmar military to give up the coup.,2/2/21,22,Tracetogether,22,1,-11.93093396,4,1,0,7.671753384,1,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar"" We ""Myanmar"" in foreign countries only protest peacefully yesterday. Shame on you #thestraitstimes . STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"The 1st, 2nd, and 4th photos are not from the real protests. They are wrong photos of course. Shame on you  The Straits Times  for spreading wrong information. 🙂🙂🙂  #Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader, #Aung #San #Suu #Kyi #government!!!",2/2/21,25,Tracetogether,28,2,-11.56050142,3,1,1,2.548416135,0,0,0
Go back and protest in your own country ! Do not cause trouble in other ppls country ! Shame on you !!,2/2/21,19,Tracetogether,19,1,-10.42088571,1,1,1,11.70965905,2,0,0
Myanmar naughty boy of ASEAN made chaos during pandemic. It is their KARMA for genocide Rohingya.,2/2/21,16,Tracetogether,16,1,-12.75018354,2,0,0,8.790257254,1,0,0
"We , Myanmar citizens need  the world to know what's happening in Myanmar right now   before our wifis are cut off.   They already cut off TVs broadcasting lines, phone services in order to prevent us reaching  to the world.  Again in 2021! History is about to be repeated like in 1988. We couldn't let it happen again,guys, please help us in spreading what's happening in Myanmar 🙏  Help us. Military has detained our elected democratic government,party leaders and political activists in Myanmar.Now,national television channels and phone services are cut out nationwide. Help us,world leading democracy  Our leader Aung San Su Kyi and other officials have been detained by the military. They shut down the telecommunications. Some of us now still getting wifi but can't tell when it'll be shut down.   #SaveMyanmar #Reject_the_Military  #WE_NEED_DEMOCRACY #Help_us_and_support_our_Leader #Save_Burma  #helpus  #SaveMyanmar",2/2/21,124,Tracetogether,133,4,-11.79722167,33,5,7,1.418942515,0,0,1
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Shame on you The Starits Time ! Using the wrong photos which would make everyone misjudge about the situation.  Source of pic ( About two dozen riot police attempted to break up the protest, and clashed with Thai organisers who are part of the kingdom's own protests last year.  A police spokesman said a handful of people were detained for questioning after Thai protesters threw rocks and coloured smoke bombs.)   (Source -https://www.channelnewsasia.com/news/asia/myanmar-migrant-workers-thailand-protest-coup-14089210 ) Myanmar people in foreign countries are protesting peacefully but the people in the country can’t because we can’t let the Military use that as an excuse & claim  that they staged the coup as people are protesting ,making political unrest.",2/2/21,109,Tracetogether,109,4,-11.55797144,20,3,2,1.235289925,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️  ©️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️  ©️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.73558337,5,0,2,3.919268106,0,0,0
"The 1st, 2nd, and 4th photos are not from the real protests. They are wrong photos of course. Shame on you  The Straits Times  for spreading wrong information. 🙂🙂🙂  #Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader, #Aung #San #Suu #Kyi #government!!!",2/2/21,25,Tracetogether,28,2,-11.56050142,3,1,1,2.548416135,0,0,0
"Just a reminder, Myammar people and their leader supported the rohingya muslim massarce which killed thousands of muslims.    They killed Rohingya burnt to death, rape, children, young and old, woman. THE WORLD REMEMBERED  KARMA  #saveRohingyafirst",2/2/21,34,Tracetogether,34,2,-13.44033848,3,2,0,2.643448187,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"Don't give wrong message 👎👎👎 Shame yourself👎👎👎 Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,36,Tracetogether,40,2,-13.55792078,6,0,2,3.373727127,0,0,0
Stephan Roy  This is a big misunderstanding!!! Photos No.1 2 4 are not Myanmar people! Myanmar people didn't protest by this way We 'Myanmar' in foreign countries only protest peacefully. We protested with permission from the Thai police station. Incorrect newsss.,2/2/21,38,Tracetogether,42,2,-11.64493163,7,0,1,3.627274397,0,0,0
"စစ်တပ်က ယနေ့ ၁ ၊ ၂ ၊ ၂၀၂၁ မနက်ပိုင်းမှာ လူထုခေါင်းဆောင် ( နိုင်ငံတော် အတိုင်ပင်ခံ ) ဒေါ်အောင်ဆန်းစုကြည် နှင့်တကွ အစိုးရ ဆိုင်ရာ ဝန်ကြီးများကို ခေါ်ဆောင်ထိန်းသိမ်း ခဲ့ပါတယ်။ ဖွံ့ဖြိုးဆဲ ဒီမိုကရေစီစနစ်နှင့် တိုင်းပြည်၏အနာဂတ်အတွက် ကျွန်တော်တို့မြန်မာ နိုင်ငံ အ နေ နဲ့ အားလုံးရဲ့ အကူအညီကို လိုအပ်ပါတယ်။  We  urge  your urgent attention as our democratically elected leaders including State Counsellor Aung San Suu Kyi, President Win Myint along with senior government officials, and the  elected members of parliament have now been detained by the military. Please kindly assist our country by stopping this military coup  as it is happening right now in Myanmar( Burma).   Aung San Suu Kyi’s party won a landslide victory in the recent election and the new parliament is due to start in the next few hours.   We need your urgent appropriate action and intervention to stop this military coup to protect the people of Myanmar (Burma) and the democratically elected National League for Democracy Government.  Kami mendesak perhatian mendesak Anda karena para pemimpin kami yang terpilih secara demokratis termasuk Penasihat Negara Aung San Suu Kyi, Presiden Win Myint bersama dengan pejabat senior pemerintah, dan anggota parlemen yang terpilih sekarang telah ditahan oleh militer. Mohon bantu negara kami dengan menghentikan kudeta militer ini seperti yang terjadi sekarang di Myanmar (Burma).  Partai Aung San Suu Kyi menang telak dalam pemilihan baru-baru ini dan parlemen baru akan dimulai dalam beberapa jam ke depan.  Kami membutuhkan tindakan dan intervensi Anda yang mendesak untuk menghentikan kudeta militer ini untuk melindungi rakyat Myanmar (Burma) dan Liga Nasional untuk Pemerintah Demokrasi yang terpilih secara demokratis.  เราขอให้คุณให้ความสนใจอย่างเร่งด่วนในฐานะผู้นำที่มาจากการเลือกตั้งตามระบอบประชาธิปไตยของเราซึ่งรวมถึงที่ปรึกษาแห่งรัฐอองซานซูจีประธานาธิบดีวินมินต์พร้อมด้วยเจ้าหน้าที่ระดับสูงของรัฐบาลและสมาชิกรัฐสภาที่มาจากการเลือกตั้งได้ถูกควบคุมตัวโดยทหารแล้ว โปรดช่วยประเทศของเราด้วยการหยุดการรัฐประหารครั้งนี้ซึ่งกำลังเกิดขึ้นในเมียนมาร์ (พม่า)  พรรคของอองซานซูจีได้รับชัยชนะอย่างถล่มทลายในการเลือกตั้งครั้งล่าสุดและรัฐสภาแห่งใหม่มีกำหนดจะเริ่มในอีกไม่กี่ชั่วโมงข้างหน้า  เราต้องการการดำเนินการและการแทรกแซงที่เหมาะสมอย่างเร่งด่วนของคุณเพื่อหยุดการรัฐประหารครั้งนี้เพื่อปกป้องประชาชนเมียนมาร์ (พม่า) และรัฐบาลสันนิบาตแห่งชาติเพื่อประชาธิปไตยที่มาจากการเลือกตั้งตามระบอบประชาธิปไตย  アウンサンスーチー国家顧問、ウィンミン大統領、政府高官、選出された国会議員など、民主的に選出された指導者が軍に拘束されているため、早急に注意を払うことをお勧めします。現在ミャンマー（ビルマ）で起こっているこの軍事クーデターを止めて、我が国を助けてください。  アウンサンスーチーの党は最近の選挙で圧勝し、新しい議会は数時間以内に発足する予定です。  ミャンマー（ビルマ）の人々と民主的に選出された国民民主連盟を保護するために、この軍事クーデターを阻止するために、あなたの緊急の適切な行動と介入が必要です。  Aung San Suu Kyi 주 보좌관, Win Myint 대통령, 고위 공무원, 선출 된 의원 등 민주적으로 선출 된 지도자들이 이제 군에 구금 되었으니 긴급한 관심을 촉구합니다. 지금 미얀마 (버마)에서 일어나고있는이 군사 쿠데타를 막아서 우리 나라를 친절하게 도와주세요.  Aung San Suu Kyi의 정당은 최근 선거에서 압도적 인 승리를 거두었으며 새 의회는 다음 몇 시간 안에 시작될 예정입니다.  미얀마 (버마) 국민과 민주적으로 선출 된 내셔널 리그 (National League for Democracy Government)를 보호하기 위해이 군사 쿠데타를 막으려면 귀하의 긴급한 적절한 조치와 개입이 필요합니다.  Hinihimok namin ang iyong kagyat na pansin dahil ang aming mga piniling demokratikong pinuno kabilang ang State Counsellor Aung San Suu Kyi, Pangulong Win Myint kasama ang mga nakatatandang opisyal ng gobyerno, at ang mga nahalal na miyembro ng parlyamento ay nakakulong na ngayon ng militar. Mangyaring pinapayuhan na tulungan ang aming bansa sa pamamagitan ng pagtigil sa coup ng militar na ito dahil nangyayari ito ngayon sa Myanmar (Burma).  Ang partido ni Aung San Suu Kyi ay nanalo ng isang malaking tagumpay sa nagdaang halalan at ang bagong parlyamento ay dahil sa magsisimula sa mga susunod na oras.  Kailangan namin ang iyong kagyat na naaangkop na aksyon at interbensyon upang ihinto ang coup ng militar na ito upang protektahan ang mga tao ng Myanmar (Burma) at ang demokratikong nahalal na National League para sa Pamahalaang Demokrasya.  我们敦促您的紧急关注，我们的民主选举的领导人，包括国务委员昂山素季，总裁温敏与政府高级官员一起，和议会的当选成员现在已经被军方拘留。请停止缅甸发生的军事政变，以协助我们的国家。  昂山素季（Aung San Suu Kyi）的政党在最近的选举中赢得压倒性胜利，新议会定于未来几个小时内开始。  我们需要您采取紧急适当的行动和干预，以停止这场军事政变，以保护缅甸人民和民主选举产生的全国民主政府联盟。  #Save #Myanmar 🇲🇲  #Save #Burma 🇲🇲  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader,  #Aung #San #Su #Kyi #government!!!  Credit",2/2/21,371,Tracetogether,578,4,-21.03244201,36,4,5,0.009436577,0,0,0
"Dear international friends,  Sorry for posting a message here! 🙏  In our country Myanmar, the military has detained our elected democratic government, party leaders and political activists. This is a breach of democracy in the nation. National television channels, some phone services and internet services are cut out nationwide.Please be aware of what is happening in Myanmar right now and support us. This is against the will of citizens. They are using weapons to shut us out.  We, people from Myanmar need urgent ATTENTION and ACTION from the people, governments around the WORLD. Myanmar military is repeating the ugliest history of conducting a coup over unfounded, false claims of vote fraudulent... Myanmar army has coup the Nation and announced to be in power for a year. We need to let the world to know that this is not our choice.   For International friends, please help us in anyway you can. Let the world know by sharing this message. 🙏  #Myanmarcoup  #myanmar_military_coup #save_myanmar #Myanmar",2/2/21,156,Tracetogether,158,4,-10.55250036,31,4,5,1.046378787,0,0,1
