,Unnamed: 0,name,comment,processed_text,demojize_text
174,11,iwanka_gvn,😊👍,[],:smiling_face_with_smiling_eyes::thumbs_up:
175,12,qijerleneangrui,👏,[],:clapping_hands:
176,13,qijerleneangrui,😍,[],:smiling_face_with_heart-eyes:
177,14,qijerleneangrui,👍,[],:thumbs_up:
178,15,qijerleneangrui,💪,[],:flexed_biceps:
179,16,qijerleneangrui,❤️,[],:red_heart:
180,17,qijerleneangrui,🙏,[],:folded_hands:
181,18,run_ming,Nothing on sports events?,"['noth', 'sport', 'event']",Nothing on sports events?
182,19,leslie_monochromicimage,"Mamaland's doing slowly, carefully and steady. Well done sg🇸🇬🇸🇬🇸🇬","['mamaland', 'slowli', 'care', 'steadi', 'well', 'done', 'sg']","Mamaland's doing slowly, carefully and steady. Well done sg:Singapore::Singapore::Singapore:"
183,20,liliesutjiari,❤️,[],:red_heart:
184,21,clarence_seow,Phase 3 is not very much different and still need to stay safe.,"['phase', 'much', 'differ', 'still', 'need', 'stay', 'safe']",Phase 3 is not very much different and still need to stay safe.
185,22,nuryana1949,What about wedding lunch/dinner??,['wed'],What about wedding lunch/dinner??
186,23,rostinir,👍,[],:thumbs_up:
187,24,uayvi.nay,Thank you 🙏🏻! Appreciate greatly.,"['thank', 'appreci', 'greatli']",Thank you :folded_hands_light_skin_tone:! Appreciate greatly.
188,25,itsokimmei,😍😍😍🇸🇬🇸🇬🇸🇬,[],:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::Singapore::Singapore::Singapore:
189,26,kaylini15,@activ_dimsum,[],@activ_dimsum
190,27,joycesvillareal,👏👏👍😍❤️,[],:clapping_hands::clapping_hands::thumbs_up::smiling_face_with_heart-eyes::red_heart:
191,28,leopard_moon,❤️,[],:red_heart:
192,29,ate_gee755,😍❤️❤️👏👏,[],:smiling_face_with_heart-eyes::red_heart::red_heart::clapping_hands::clapping_hands:
193,30,glendaqbautista,❤👍,[],:red_heart::thumbs_up:
194,31,sheena_jnj,Congregational meaning for wedding at external venues?,"['congreg', 'mean', 'wed', 'extern', 'venu']",Congregational meaning for wedding at external venues?
195,32,limcheng1819,Hi thank you so much🙏🏻 may I ask if there is any easing of measures for nursing homes?,"['hi', 'thank', 'much', 'may', 'ask', 'eas', 'measur', 'nurs', 'home']",Hi thank you so much:folded_hands_light_skin_tone: may I ask if there is any easing of measures for nursing homes?
196,33,leee.dennis,Mantap,['mantap'],Mantap
197,34,mrknight88,Hi ! Will we be back to campus to have class in phase 3?,"['hi', 'back', 'campu', 'class', 'phase']",Hi ! Will we be back to campus to have class in phase 3?
198,35,iwanka_gvn,😊👍,[],:smiling_face_with_smiling_eyes::thumbs_up:
199,36,qijerleneangrui,👏,[],:clapping_hands:
200,37,qijerleneangrui,😍,[],:smiling_face_with_heart-eyes:
201,38,qijerleneangrui,👍,[],:thumbs_up:
202,39,qijerleneangrui,💪,[],:flexed_biceps:
203,40,qijerleneangrui,❤️,[],:red_heart:
204,41,qijerleneangrui,🙏,[],:folded_hands:
205,42,run_ming,Nothing on sports events?,"['noth', 'sport', 'event']",Nothing on sports events?
206,43,leslie_monochromicimage,"Mamaland's doing slowly, carefully and steady. Well done sg🇸🇬🇸🇬🇸🇬","['mamaland', 'slowli', 'care', 'steadi', 'well', 'done', 'sg']","Mamaland's doing slowly, carefully and steady. Well done sg:Singapore::Singapore::Singapore:"
207,44,liliesutjiari,❤️,[],:red_heart:
208,45,clarence_seow,Phase 3 is not very much different and still need to stay safe.,"['phase', 'much', 'differ', 'still', 'need', 'stay', 'safe']",Phase 3 is not very much different and still need to stay safe.
209,46,nuryana1949,What about wedding lunch/dinner??,['wed'],What about wedding lunch/dinner??
210,47,rostinir,👍,[],:thumbs_up:
211,0,tfimnotzac._,The problem is are these vaccines effective against covid and safe to humans without side effects,"['problem', 'vaccin', 'effect', 'covid', 'safe', 'human', 'without', 'side', 'effect']",The problem is are these vaccines effective against covid and safe to humans without side effects
212,1,heizenberg_el_chino,PM LEE Took The Vaccine 💉👏👏👏👍👏👍👍👍👏👏❤️,"['pm', 'lee', 'took', 'vaccin']",PM LEE Took The Vaccine :syringe::clapping_hands::clapping_hands::clapping_hands::thumbs_up::clapping_hands::thumbs_up::thumbs_up::thumbs_up::clapping_hands::clapping_hands::red_heart:
213,2,sand_artist_lawrence_koh,👍👍👍,[],:thumbs_up::thumbs_up::thumbs_up:
214,3,verrarinana,"I think any reasonable people know that we Should get vaccinated to protect our society, our own health and in not very near future our wealth. Instead of talking about Why and trying to convince, can we please elaborate how reliable are the current brands of vaccine we have?","['think', 'reason', 'peopl', 'know', 'get', 'vaccin', 'protect', 'societi', 'health', 'near', 'futur', 'wealth', 'instead', 'talk', 'tri', 'convinc', 'pleas', 'elabor', 'reliabl', 'current', 'brand', 'vaccin']","I think any reasonable people know that we Should get vaccinated to protect our society, our own health and in not very near future our wealth. Instead of talking about Why and trying to convince, can we please elaborate how reliable are the current brands of vaccine we have?"
215,4,ssiva_universe,🌳🌹🌹🌺✍🏡🌅🚘🛫💙💘🎂🍨🥂🍻☕💄👏❤️🌳🌹🌺✍🏡🌅🚘🛫💙💘🎂🍨🥂🍻☕💄❤️🌳🌹🌺✍✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄❤️🌳🌹🌺✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂💙💘💙💘💙💘💙💘💙💘💙💘💙💙💙💙,[],:deciduous_tree::rose::rose::hibiscus::writing_hand::house_with_garden::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::clapping_hands::red_heart::deciduous_tree::rose::hibiscus::writing_hand::house_with_garden::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::red_heart::deciduous_tree::rose::hibiscus::writing_hand::writing_hand::house_with_garden::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::red_heart::deciduous_tree::rose::hibiscus::writing_hand::house_with_garden::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::blue_heart::blue_heart::blue_heart:
216,5,stupid_dead_crabs,weewoo,['weewoo'],weewoo
217,6,thisisjawad10,حتي يتم السيطرة على الفيروس بسهولة,[],حتي يتم السيطرة على الفيروس بسهولة
218,7,cestlavie1958,Always better be safe than sorry!!,"['alway', 'better', 'safe', 'sorri']",Always better be safe than sorry!!
219,8,therisingshadow.sg,Education!,['educ'],Education!
220,9,momo_no_hana,Is everyone suitable to be vaccinated ? Especially a person who's already on lots of medications and weak,"['everyon', 'suitabl', 'vaccin', 'especi', 'person', 'alreadi', 'lot', 'medic', 'weak']",Is everyone suitable to be vaccinated ? Especially a person who's already on lots of medications and weak
221,0,sand_artist_lawrence_koh,Stay safe,"['stay', 'safe']",Stay safe
222,1,melwu5057,Don't have too worry to much about the vaccine you are in the safe hands of the doctors nurse know what they are doing and are trained to do this type of work,"['worri', 'much', 'vaccin', 'safe', 'hand', 'doctor', 'nurs', 'know', 'train', 'type', 'work']",Don't have too worry to much about the vaccine you are in the safe hands of the doctors nurse know what they are doing and are trained to do this type of work
223,2,tfimnotzac._,Is not even strong to end the pandemic bro,"['even', 'strong', 'end', 'pandem', 'bro']",Is not even strong to end the pandemic bro
224,3,schulte1974,When can we normal EP holders get the vaccine?,"['normal', 'ep', 'holder', 'get', 'vaccin']",When can we normal EP holders get the vaccine?
225,4,chongsun1234,same same when we were told no need to wear masks one year ago,"['told', 'need', 'wear', 'mask', 'one', 'year', 'ago']",same same when we were told no need to wear masks one year ago
226,5,therisingshadow.sg,Yes!! It's time to listen to the science,"['ye', 'time', 'listen', 'scienc']",Yes!! It's time to listen to the science
227,6,dav.iannn,@catcuteme,[],@catcuteme
228,7,martinng5885,"Be very careful of new variant, they will derail vaccination program . More enforcement of imported cases","['care', 'new', 'variant', 'derail', 'vaccin', 'program', 'enforc', 'import', 'case']","Be very careful of new variant, they will derail vaccination program . More enforcement of imported cases"
229,8,azrafael,FAQ for anti vaxxers,"['faq', 'anti', 'vaxxer']",FAQ for anti vaxxers
230,0,sand_artist_lawrence_koh,Praying for everyone,"['pray', 'everyon']",Praying for everyone
231,1,limcheng1819,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.","['think', 'need', 'consist', 'enforc', 'effort', 'wet', 'market', 'stall', 'owner', 'wear', 'mask', 'shout', 'loud', 'lohei', 'great', 'world', 'citi', 'woman', 'wear', 'mask', 'till', 'reach', 'check', 'counter', 'put', 'super', 'loos', 'mask', 'bottom', 'loop', 'cut', 'better', 'breath', 'safe', 'distanc', 'ambassador', 'stand', 'next', 'counter', 'said', 'noth']","I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing."
232,2,limcheng1819,"I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing.","['think', 'need', 'consist', 'enforc', 'effort', 'wet', 'market', 'stall', 'owner', 'wear', 'mask', 'shout', 'loud', 'lohei', 'great', 'world', 'citi', 'woman', 'wear', 'mask', 'till', 'reach', 'check', 'counter', 'put', 'super', 'loos', 'mask', 'bottom', 'loop', 'cut', 'better', 'breath', 'safe', 'distanc', 'ambassador', 'stand', 'next', 'counter', 'said', 'noth']","I think need to be consistent in our enforcement efforts. At the wet markets, stall owners are not wearing masks and shouting (as loud as lohei). At Great World City, a woman did not wear any mask till she reached the check in counter and then put on a super loose mask with the bottom loop all cut off for better breathing. The safe distancing ambassador standing next to the counter said nothing."
233,3,limcheng1819,"At the public toilets, I notice they fewer people now wash their hands with soap, and these include food handlers.","['public', 'toilet', 'notic', 'fewer', 'peopl', 'wash', 'hand', 'soap', 'includ', 'food', 'handler']","At the public toilets, I notice they fewer people now wash their hands with soap, and these include food handlers."
234,4,limcheng1819,"At the public toilets, I notice that fewer people now wash their hands with soap, they just sprinkle with water after toilet use, and these include food handlers. It’s like the situation on the roads. People don’t care till they notice a traffic police. It’s not our culture to abide by rules.","['public', 'toilet', 'notic', 'fewer', 'peopl', 'wash', 'hand', 'soap', 'sprinkl', 'water', 'toilet', 'use', 'includ', 'food', 'handler', 'like', 'situat', 'road', 'peopl', 'care', 'till', 'notic', 'traffic', 'polic', 'cultur', 'abid', 'rule']","At the public toilets, I notice that fewer people now wash their hands with soap, they just sprinkle with water after toilet use, and these include food handlers. It’s like the situation on the roads. People don’t care till they notice a traffic police. It’s not our culture to abide by rules."
235,5,limcheng1819,"At the public toilets, I notice that fewer people now wash their hands with soap, they just sprinkle with water after toilet use, and these include food handlers. It’s like the situation on the roads. People don’t care till they notice a traffic police. It’s not our culture to abide by rules.","['public', 'toilet', 'notic', 'fewer', 'peopl', 'wash', 'hand', 'soap', 'sprinkl', 'water', 'toilet', 'use', 'includ', 'food', 'handler', 'like', 'situat', 'road', 'peopl', 'care', 'till', 'notic', 'traffic', 'polic', 'cultur', 'abid', 'rule']","At the public toilets, I notice that fewer people now wash their hands with soap, they just sprinkle with water after toilet use, and these include food handlers. It’s like the situation on the roads. People don’t care till they notice a traffic police. It’s not our culture to abide by rules."
236,6,limcheng1819,"Sorry I don’t mean to post repeatedly. The system kept asking me to tab, saying the posting failed to upload.","['sorri', 'mean', 'post', 'repeatedli', 'system', 'kept', 'ask', 'tab', 'say', 'post', 'fail', 'upload']","Sorry I don’t mean to post repeatedly. The system kept asking me to tab, saying the posting failed to upload."
237,7,imflormh,how do we know it's our turn to go get vaccinated??,"['know', 'turn', 'go', 'get', 'vaccin']",how do we know it's our turn to go get vaccinated??
238,8,ermmmmmhi,Can children get vaccinated? Just asking XD,"['children', 'get', 'vaccin', 'ask', 'xd']",Can children get vaccinated? Just asking XD
239,9,lieke.maria,"Thank You, Sir 😍💪👍🙏","['thank', 'sir']","Thank You, Sir :smiling_face_with_heart-eyes::flexed_biceps::thumbs_up::folded_hands:"
240,10,lily_limll,❤️❤️👍🏻,[],:red_heart::red_heart::thumbs_up_light_skin_tone:
241,11,uluhia,"Thanks you,sir 👍👍","['thank', 'sir']","Thanks you,sir :thumbs_up::thumbs_up:"
242,12,albertpua,👏,[],:clapping_hands:
243,13,jiro1197,🙌👏👏👏,[],:raising_hands::clapping_hands::clapping_hands::clapping_hands:
244,14,ssiva_universe,🌳🌹🌺✍✍🏡🏠🏠🌅🚘🛫💙💘🎂🍨🍨🥂🍻☕📿💍💄👏❤️🌳🌹🌺✍✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄❤️🌳🌹🌺✍🏡🏡🏠🌅🚘🛫💙💘🎂🍨🥂🥂🍻☕❤️💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💙,[],:deciduous_tree::rose::hibiscus::writing_hand::writing_hand::house_with_garden::house::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::prayer_beads::ring::lipstick::clapping_hands::red_heart::deciduous_tree::rose::hibiscus::writing_hand::writing_hand::house_with_garden::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::red_heart::deciduous_tree::rose::hibiscus::writing_hand::house_with_garden::house_with_garden::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_glasses::clinking_beer_mugs::hot_beverage::red_heart::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::blue_heart:
245,15,eternalssiva,🌳🌹🌹🌺✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕☕📿💍💄💟👄💑🎂🎇💖💙💘🌳🌹🌺✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄💟👄💑🎂💖💙💘🌳🌹🌺✍🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄💑🎂🎇💖💙💘💖💙💘💖💙💖💙💘💖💙💘💖💙💘💖💙💘💖💙💘💖💙💘,[],:deciduous_tree::rose::rose::hibiscus::writing_hand::house_with_garden::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::hot_beverage::prayer_beads::ring::lipstick::heart_decoration::mouth::couple_with_heart::birthday_cake::sparkler::sparkling_heart::blue_heart::heart_with_arrow::deciduous_tree::rose::hibiscus::writing_hand::house_with_garden::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::heart_decoration::mouth::couple_with_heart::birthday_cake::sparkling_heart::blue_heart::heart_with_arrow::deciduous_tree::rose::hibiscus::writing_hand::house::sunrise::oncoming_automobile::airplane_departure::blue_heart::heart_with_arrow::birthday_cake::ice_cream::clinking_glasses::clinking_beer_mugs::hot_beverage::lipstick::couple_with_heart::birthday_cake::sparkler::sparkling_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::sparkling_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::heart_with_arrow:
246,16,rafi_b_ms,I know how much you love us,"['know', 'much', 'love', 'us']",I know how much you love us
247,17,_chris0809,Thank you🙏,['thank'],Thank you:folded_hands:
248,18,vijibizi,How will i know when to go for vaccination?,"['know', 'go', 'vaccin']",How will i know when to go for vaccination?
249,19,seetha.lakshmi.1023611,🌺🌺🙏,[],:hibiscus::hibiscus::folded_hands:
250,20,x._.suck_in_editin._.x,What about kids below 20,['kid'],What about kids below 20
251,21,catherinechuagek,Honour parents and elders and we will see long lives ! Wonderful to take care of the vulnerable in our community 👏😍😍❤️,"['honour', 'parent', 'elder', 'see', 'long', 'live', 'wonder', 'take', 'care', 'vulner', 'commun']",Honour parents and elders and we will see long lives ! Wonderful to take care of the vulnerable in our community :clapping_hands::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::red_heart:
252,22,youchoong,Thank you for caring of Singaporeans SG 👏👏👏👏👏👏🏻👏🏻👏👏👏👏👏********,"['thank', 'care', 'singaporean', 'sg']",Thank you for caring of Singaporeans SG :clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:********
253,23,cherrytan7886,Why never protect yr wife by vaccination??,"['never', 'protect', 'yr', 'wife', 'vaccin']",Why never protect yr wife by vaccination??
254,24,x._.cheeku._.x,Best PM❤️🇸🇬,"['best', 'pm']",Best PM:red_heart::Singapore:
255,25,disastrous_monk,感恩 感谢 感激,[],感恩 感谢 感激
256,26,teikpenglim.1974,❤️❤️❤️❤️❤️,[],:red_heart::red_heart::red_heart::red_heart::red_heart:
257,27,m_wedding_creation,😍🙏😍,[],:smiling_face_with_heart-eyes::folded_hands::smiling_face_with_heart-eyes:
258,28,dhunt6458,way to go! we have been taking all the safe measures to prevent a recurrence of Covid-19. BUT i wonder why we have allowed MPs and Community leaders going from house to house with CNY wishes and gifts. nice gesture wrong move.,"['way', 'go', 'take', 'safe', 'measur', 'prevent', 'recurr', 'wonder', 'allow', 'mp', 'commun', 'leader', 'go', 'hous', 'hous', 'cni', 'wish', 'gift', 'nice', 'gestur', 'wrong', 'move']",way to go! we have been taking all the safe measures to prevent a recurrence of Covid-19. BUT i wonder why we have allowed MPs and Community leaders going from house to house with CNY wishes and gifts. nice gesture wrong move.
259,29,dhunt6458,way to go! we have been taking all the safe measures to prevent a recurrence of Covid-19. BUT i wonder why we have allowed MPs and Community leaders going from house to house with CNY wishes and gifts. nice gesture wrong move.,"['way', 'go', 'take', 'safe', 'measur', 'prevent', 'recurr', 'wonder', 'allow', 'mp', 'commun', 'leader', 'go', 'hous', 'hous', 'cni', 'wish', 'gift', 'nice', 'gestur', 'wrong', 'move']",way to go! we have been taking all the safe measures to prevent a recurrence of Covid-19. BUT i wonder why we have allowed MPs and Community leaders going from house to house with CNY wishes and gifts. nice gesture wrong move.
260,30,dhunt6458,way to go! we are continuing safe measures to prevent a recurrence. i am surprised why MPs and community leaders have been visiting HDB house to house with CNY wishes and gifts. yes they were wearing masks but not all the residents were. it just takes one .... just my worry,"['way', 'go', 'continu', 'safe', 'measur', 'prevent', 'recurr', 'surpris', 'mp', 'commun', 'leader', 'visit', 'hdb', 'hous', 'hous', 'cni', 'wish', 'gift', 'ye', 'wear', 'mask', 'resid', 'take', 'one', 'worri']",way to go! we are continuing safe measures to prevent a recurrence. i am surprised why MPs and community leaders have been visiting HDB house to house with CNY wishes and gifts. yes they were wearing masks but not all the residents were. it just takes one .... just my worry
261,31,sand_artist_lawrence_koh,Stay strong Singapore,"['stay', 'strong', 'singapor']",Stay strong Singapore
262,32,sasanali44,اقا فرمودن نه..واکسن نوووچ...نشنیدین؟؟؟یبار میگن دیگه خصوصا اقااااا,[],اقا فرمودن نه..واکسن نوووچ...نشنیدین؟؟؟یبار میگن دیگه خصوصا اقااااا
263,33,sasanali44,اقا فرمودن نه..واکسن نوووچ...نشنیدین؟؟؟یبار میگن دیگه خصوصا اقااااا,[],اقا فرمودن نه..واکسن نوووچ...نشنیدین؟؟؟یبار میگن دیگه خصوصا اقااااا
264,34,schulte1974,Thank you Singapore!,"['thank', 'singapor']",Thank you Singapore!
265,35,silaschia,Yishun should get vaccinated first @bigbadguy84 @jennhjj,"['yishun', 'get', 'vaccin', 'first']",Yishun should get vaccinated first @bigbadguy84 @jennhjj
266,36,kelsey_karadoc,"Any side effects? Those with side effects... reported in news? Also. Will we get the know if it’s Pfizer, Modena or China vaccines injected into our bodies? Is there a choice for us?","['side', 'effect', 'side', 'effect', 'report', 'news', 'also', 'get', 'know', 'pfizer', 'modena', 'china', 'vaccin', 'inject', 'bodi', 'choic', 'us']","Any side effects? Those with side effects... reported in news? Also. Will we get the know if it’s Pfizer, Modena or China vaccines injected into our bodies? Is there a choice for us?"
267,37,raymondtandfs,I am a medical problems patient. I cannot take vaccinated lah.,"['medic', 'problem', 'patient', 'take', 'vaccin', 'lah']",I am a medical problems patient. I cannot take vaccinated lah.
268,38,babearies,and when is our turn,['turn'],and when is our turn
269,39,chongsun1234,i will wait,['wait'],i will wait
270,40,marcusmarsden,👏🏻,[],:clapping_hands_light_skin_tone:
271,41,varunsingla01,👏,[],:clapping_hands:
272,42,rostinir,Thanks Singapore 🙏,"['thank', 'singapor']",Thanks Singapore :folded_hands:
273,43,martinng5885,"Be careful of the new variant of COVID that is super infectious. If this goes into community, it will derail our vaccination program. The unknown deadly South Africa variant may pose serious risk","['care', 'new', 'variant', 'covid', 'super', 'infecti', 'goe', 'commun', 'derail', 'vaccin', 'program', 'unknown', 'deadli', 'south', 'africa', 'variant', 'may', 'pose', 'seriou', 'risk']","Be careful of the new variant of COVID that is super infectious. If this goes into community, it will derail our vaccination program. The unknown deadly South Africa variant may pose serious risk"
274,44,hiitspreeti,Any plans for vaccinating students going to other countries for university studies?,"['plan', 'vaccin', 'student', 'go', 'countri', 'univers', 'studi']",Any plans for vaccinating students going to other countries for university studies?
275,45,kenneth_lee_mattson,How about PRs stuck abroad?,"['pr', 'stuck', 'abroad']",How about PRs stuck abroad?
276,46,idevicejp,Can citizen who needs to do essential travel very soon for a Long period of time (more than a year eg studies) get priority for vaccination first. May not able to wait til the normal turn. Would the gov consider that.,"['citizen', 'need', 'essenti', 'travel', 'soon', 'long', 'period', 'time', 'year', 'eg', 'studi', 'get', 'prioriti', 'vaccin', 'first', 'may', 'abl', 'wait', 'til', 'normal', 'turn', 'would', 'gov', 'consid']",Can citizen who needs to do essential travel very soon for a Long period of time (more than a year eg studies) get priority for vaccination first. May not able to wait til the normal turn. Would the gov consider that.
277,0,mariacavichiolli,Luck of Singaporeans and other residents who will soon be vaccinated. Here in Brazil there is no defined plan and the population does not know when it will be vaccinated.,"['luck', 'singaporean', 'resid', 'soon', 'vaccin', 'brazil', 'defin', 'plan', 'popul', 'know', 'vaccin']",Luck of Singaporeans and other residents who will soon be vaccinated. Here in Brazil there is no defined plan and the population does not know when it will be vaccinated.
278,1,ajako_83,Side effects such as...?,"['side', 'effect']",Side effects such as...?
279,2,pakimixsgmsia786,Do check ur dm mssg,"['check', 'ur', 'dm', 'mssg']",Do check ur dm mssg
280,3,melwu5057,Does the covid19 vaccination included new born baby due to the side effects of the vaccine cause you have to also protect the new born babies,"['vaccin', 'includ', 'new', 'born', 'babi', 'due', 'side', 'effect', 'vaccin', 'caus', 'also', 'protect', 'new', 'born', 'babi']",Does the covid19 vaccination included new born baby due to the side effects of the vaccine cause you have to also protect the new born babies
281,4,momo8699,👍,[],:thumbs_up:
282,5,hansen_khornelius,Does student pass holder considered as long term resident?,"['student', 'pass', 'holder', 'consid', 'long', 'term', 'resid']",Does student pass holder considered as long term resident?
283,6,marie_pidsley,There could still be side effects...?,"['could', 'still', 'side', 'effect']",There could still be side effects...?
284,7,beebee4265,🤲🤲,[],:palms_up_together::palms_up_together:
285,8,capt.peehype,The side effects being??,"['side', 'effect']",The side effects being??
286,9,whimsigalme,It’s new so they won’t probably know the side effects I guess.,"['new', 'probabl', 'know', 'side', 'effect', 'guess']",It’s new so they won’t probably know the side effects I guess.
287,10,ssiva.2021,👍💑❤👄💋💙💖💞💝😘💟🍷💄🎂💍🍺🍻👍💑❤👄💋💙💖💞💝😘💟💄🎂🍺🍻👍💑❤👄💋💙💘💞😘💟🍷💄🎂🍺🍻💙💘💖💘💙💘💙💘💙💘💙💘💙💘💙💘💙👄💙💙,[],:thumbs_up::couple_with_heart::red_heart::mouth::kiss_mark::blue_heart::sparkling_heart::revolving_hearts::heart_with_ribbon::face_blowing_a_kiss::heart_decoration::wine_glass::lipstick::birthday_cake::ring::beer_mug::clinking_beer_mugs::thumbs_up::couple_with_heart::red_heart::mouth::kiss_mark::blue_heart::sparkling_heart::revolving_hearts::heart_with_ribbon::face_blowing_a_kiss::heart_decoration::lipstick::birthday_cake::beer_mug::clinking_beer_mugs::thumbs_up::couple_with_heart::red_heart::mouth::kiss_mark::blue_heart::heart_with_arrow::revolving_hearts::face_blowing_a_kiss::heart_decoration::wine_glass::lipstick::birthday_cake::beer_mug::clinking_beer_mugs::blue_heart::heart_with_arrow::sparkling_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::mouth::blue_heart::blue_heart:
288,11,sarahlim1386,It's new so they won't probably know the side effects. Plus again it isn't 100% guarantee that it can total prevent you from getting covid-19.Although at least it does some protection Plus I heard other countries news ppl getting vaccine some gotten the side effects of the vaccine include face distortion. & Vaccine usually takes alot more years to do research & trials about 10 year to prove that it is safe. U can't say for sure the side effects could cause health problems if it changes DNA sequence or effect cells in the body.,"['new', 'wo', 'probabl', 'know', 'side', 'effect', 'plu', 'guarante', 'total', 'prevent', 'get', 'least', 'protect', 'plu', 'heard', 'countri', 'news', 'ppl', 'get', 'vaccin', 'gotten', 'side', 'effect', 'vaccin', 'includ', 'face', 'distort', 'vaccin', 'usual', 'take', 'alot', 'year', 'research', 'trial', 'year', 'prove', 'safe', 'u', 'ca', 'say', 'sure', 'side', 'effect', 'could', 'caus', 'health', 'problem', 'chang', 'dna', 'sequenc', 'effect', 'cell', 'bodi']",It's new so they won't probably know the side effects. Plus again it isn't 100% guarantee that it can total prevent you from getting covid-19.Although at least it does some protection Plus I heard other countries news ppl getting vaccine some gotten the side effects of the vaccine include face distortion. & Vaccine usually takes alot more years to do research & trials about 10 year to prove that it is safe. U can't say for sure the side effects could cause health problems if it changes DNA sequence or effect cells in the body.
289,12,kriiiiizzy,@findinglimu,[],@findinglimu
290,13,ibr_remote,"👍👏👏👏SUPER JOB, SINGAPORE GOVERNMENT. ⭐⭐⭐","['super', 'job', 'singapor', 'govern']",":thumbs_up::clapping_hands::clapping_hands::clapping_hands:SUPER JOB, SINGAPORE GOVERNMENT. :star::star::star:"
291,14,lele_vs,@bryantfoguel,[],@bryantfoguel
